r_0,s_1,level,marginal,lower,upper,scale
ercot,summer,0.9342573793244968,-6.661338147750939e-15,0.0,inf,1.0
ercot,winter,1.357093217241067,-8.704148513061227e-14,0.0,inf,1.0
ercot,vortex,3.8076103655080056,-2.1812845474311615e-08,0.0,inf,1.0
ferc,summer,0.9342573793244968,-7.105427357601002e-15,0.0,inf,1.0
ferc,winter,1.357093217241067,-9.725553695716371e-14,0.0,inf,1.0
ferc,vortex,3.8076103655080056,-1.848633973677849e-08,0.0,inf,1.0
