s_0,level,marginal,lower,upper,scale
summer,0.9342573793244968,0.0,0.0,inf,1.0
winter,1.357093217241067,0.0,0.0,inf,1.0
vortex,3.8076103655080056,0.0,0.0,inf,1.0
