r_0,s_1,level,marginal,lower,upper,scale
ercot,summer,0.0,-0.0,0.0,0.0,1.0
ercot,winter,0.0,-0.0,0.0,0.0,1.0
ercot,vortex,0.0,-0.0,0.0,0.0,1.0
ferc,summer,0.0,-0.0,0.0,0.0,1.0
ferc,winter,0.0,-0.0,0.0,0.0,1.0
ferc,vortex,0.0,-0.0,0.0,0.0,1.0
