r_0,s_1,level,marginal,lower,upper,scale
ercot,summer,0.9996812815030407,1.766586876783549e-12,-inf,inf,1.0
ercot,winter,0.9996812815030406,1.7666978990860116e-12,-inf,inf,1.0
ercot,vortex,1.1960590685837518,6.154312304218479e-08,-inf,inf,1.0
ferc,summer,0.9960890774672847,1.1102230246251565e-16,-inf,inf,1.0
ferc,winter,1.033490645313664,0.0,-inf,inf,1.0
ferc,vortex,1.035948467278758,2.220446049250313e-16,-inf,inf,1.0
