s_0,level,marginal,lower,upper,scale
summer,0.9142464960795939,0.0,0.0,inf,1.0
winter,1.3178482222912844,0.0,0.0,inf,1.0
vortex,2.9412848044924744,0.0,0.0,inf,1.0
