r_0,s_1,level,marginal,lower,upper,scale
ercot,summer,0.9142464960795939,-4.1744385725905886e-14,0.0,inf,1.0
ercot,winter,1.3178482222912844,-1.0436096431476471e-14,0.0,inf,1.0
ercot,vortex,2.9412848044924744,-9.07407482486633e-12,0.0,inf,1.0
ferc,summer,0.9142464960795939,-4.063416270128073e-14,0.0,inf,1.0
ferc,winter,1.3178482222912844,-6.217248937900877e-15,0.0,inf,1.0
ferc,vortex,2.9412848044924744,-7.679634705937133e-12,0.0,inf,1.0
