r_0,level,marginal,lower,upper,scale
ercot,1.0023267574081687,-2.296269441259824e-08,1.0023267574081687,1.0023267574081687,1.0
ferc,1.0301950780817577,2.065820403629459e-09,1.0301950780817577,1.0301950780817577,1.0
