r_0,s_1,level,marginal,lower,upper,scale
ercot,summer,0.9999243847433179,1.3322676295501878e-15,-inf,inf,1.0
ercot,winter,0.999924384743317,4.440892098500626e-16,-inf,inf,1.0
ercot,vortex,0.9560803067167634,-5.484623866180982e-11,-inf,inf,1.0
ferc,summer,0.9989347281766671,8.104628079763643e-15,-inf,inf,1.0
ferc,winter,0.9897716694793661,-1.1102230246251565e-14,-inf,inf,1.0
ferc,vortex,0.9891840852677012,-2.6486013382509555e-10,-inf,inf,1.0
