r_0,s_1,level,marginal,lower,upper,scale
ercot,summer,0.9994574771108977,1.965094753586527e-14,-inf,inf,1.0
ercot,winter,0.999457477110896,1.7985612998927536e-14,-inf,inf,1.0
ercot,vortex,0.9688256843942661,-6.939437913189295e-11,-inf,inf,1.0
ferc,summer,0.9989293762493409,-2.220446049250313e-16,-inf,inf,1.0
ferc,winter,0.9898054349358625,0.0,-inf,inf,1.0
ferc,vortex,0.9892286640311878,1.1102230246251565e-16,-inf,inf,1.0
